	Trial	RiskType	RewardType	ResponseType	Reward	Shock	SubjID
57	58	2	1	1.0	0.25	0	4
58	59	3	1	0.0	0.28	1	4
59	60	1	1	1.0	0.32	0	4
60	61	3	3	0.0	0.68	1	4
61	62	1	1	1.0	0.07	0	4
62	63	2	2	1.0	0.54	1	4
63	64	2	3	1.0	0.75	1	4
64	65	1	1	1.0	0.23	0	4
65	66	1	2	1.0	0.5	0	4
66	67	3	1	0.0	0.14	1	4
67	68	2	1	1.0	0.32	0	4
68	69	1	2	1.0	0.45	0	4
69	70	2	2	1.0	0.38	1	4
70	71	3	3	1.0	0.76	1	4
71	72	1	1	1.0	0.16	0	4
72	73	3	2	1.0	0.39	1	4
73	74	2	1	1.0	0.24	1	4
74	75	2	3	1.0	0.86	0	4
75	76	1	2	1.0	0.56	0	4
76	77	3	3	1.0	0.81	1	4
77	78	2	3	1.0	0.94	0	4
78	79	2	2	1.0	0.51	1	4
79	80	3	1	0.0	0.33	1	4
80	81	1	2	1.0	0.42	0	4
81	82	1	3	1.0	0.69	0	4
82	83	2	3	1.0	0.72	0	4
83	84	1	1	1.0	0.12	0	4
84	85	3	2	0.0	0.55	1	4
85	86	1	1	1.0	0.21	0	4
86	87	3	2	0.0	0.47	1	4
88	89	2	1	0.0	0.17	1	4
89	90	1	2	1.0	0.64	0	4
90	91	1	1	1.0	0.05	0	4
91	92	1	3	1.0	0.85	0	4
92	93	1	1	1.0	0.29	0	4
93	94	1	3	1.0	0.77	1	4
94	95	3	1	0.0	0.17	1	4
95	96	2	3	1.0	0.78	1	4
96	97	2	2	1.0	0.43	1	4
97	98	3	3	0.0	0.65	1	4
98	99	3	3	1.0	0.73	0	4
99	100	2	1	0.0	0.3	0	4
100	101	1	3	1.0	0.9	0	4
101	102	3	1	0.0	0.26	1	4
102	103	1	2	1.0	0.48	0	4
103	104	2	1	0.0	0.08	0	4
104	105	3	3	1.0	0.9	1	4
105	106	2	2	1.0	0.6	1	4
106	107	2	2	1.0	0.35	0	4
107	108	3	2	0.0	0.6	1	4
0	1	1	2	1	0.53	0	5
1	2	2	1	1	0.13	0	5
2	3	2	3	1	0.91	1	5
3	4	3	1	0	0.15	1	5
4	5	1	2	1	0.61	0	5
5	6	3	1	0	0.31	1	5
6	7	3	3	1	0.79	1	5
7	8	1	1	1	0.1	0	5
8	9	3	2	1	0.58	1	5
9	10	3	2	0	0.36	1	5
10	11	1	3	1	0.82	0	5
11	12	3	1	0	0.22	1	5
12	13	3	3	1	0.87	0	5
13	14	1	2	1	0.45	0	5
14	15	2	3	1	0.7	0	5
15	16	1	1	1	0.27	0	5
16	17	2	2	1	0.4	0	5
17	18	1	1	1	0.18	0	5
18	19	1	3	1	0.74	0	5
19	20	3	2	1	0.52	1	5
20	21	1	1	1	0.34	0	5
21	22	3	3	1	0.7	1	5
22	23	2	2	1	0.65	0	5
23	24	2	2	1	0.49	1	5
24	25	2	2	1	0.57	0	5
25	26	2	1	1	0.22	1	5
26	27	1	2	1	0.4	1	5
27	28	2	1	1	0.27	1	5
28	29	1	3	1	0.88	0	5
29	30	3	1	0	0.09	1	5
30	31	3	2	0	0.44	1	5
31	32	3	3	1	0.95	1	5
32	33	2	3	1	0.75	1	5
33	34	2	1	0	0.06	1	5
34	35	2	3	1	0.83	0	5
35	36	1	3	1	0.66	0	5
36	37	3	3	1	0.84	1	5
37	38	1	3	1	0.93	0	5
38	39	3	1	0	0.2	1	5
39	40	3	2	0	0.41	1	5
40	41	1	2	1	0.59	0	5
41	42	1	3	1	0.85	0	5
42	43	3	3	1	0.92	1	5
43	44	2	3	1	0.8	0	5
44	45	1	2	1	0.37	0	5
45	46	1	3	1	0.8	1	5
46	47	2	2	1	0.62	0	5
47	48	2	1	0	0.11	1	5
48	49	3	2	1	0.5	1	5
49	50	3	2	1	0.63	1	5
50	51	2	3	1	0.89	0	5
51	52	1	3	1	0.71	0	5
52	53	2	1	0	0.19	1	5
53	54	2	2	1	0.46	0	5
54	55	3	1	0	0.07	0	5
55	56	3	2	1	0.55	1	5
56	57	2	3	1	0.67	1	5
57	58	2	1	0	0.25	0	5
58	59	3	1	0	0.28	1	5
59	60	1	1	1	0.32	0	5
60	61	3	3	1	0.68	1	5
61	62	1	1	0	0.07	0	5
62	63	2	2	1	0.54	1	5
63	64	2	3	1	0.75	1	5
64	65	1	1	1	0.23	0	5
65	66	1	2	1	0.5	0	5
66	67	3	1	0	0.14	1	5
67	68	2	1	1	0.32	0	5
68	69	1	2	1	0.45	0	5
69	70	2	2	1	0.38	1	5
70	71	3	3	1	0.76	1	5
71	72	1	1	1	0.16	0	5
72	73	3	2	0	0.39	1	5
73	74	2	1	1	0.24	1	5
74	75	2	3	1	0.86	0	5
75	76	1	2	1	0.56	0	5
76	77	3	3	1	0.81	1	5
77	78	2	3	1	0.94	0	5
78	79	2	2	1	0.51	1	5
79	80	3	1	0	0.33	1	5
80	81	1	2	1	0.42	0	5
81	82	1	3	1	0.69	0	5
82	83	2	3	1	0.72	0	5
83	84	1	1	1	0.12	0	5
84	85	3	2	1	0.55	1	5
85	86	1	1	1	0.21	0	5
86	87	3	2	0	0.47	1	5
87	88	3	1	0	0.12	1	5
88	89	2	1	0	0.17	1	5
89	90	1	2	1	0.64	0	5
90	91	1	1	0	0.05	0	5
91	92	1	3	1	0.85	0	5
92	93	1	1	1	0.29	0	5
93	94	1	3	1	0.77	1	5
94	95	3	1	0	0.17	1	5
95	96	2	3	1	0.78	1	5
96	97	2	2	1	0.43	1	5
97	98	3	3	1	0.65	1	5
98	99	3	3	1	0.73	0	5
99	100	2	1	1	0.3	0	5
100	101	1	3	1	0.9	0	5
101	102	3	1	0	0.26	1	5
102	103	1	2	1	0.48	0	5
103	104	2	1	0	0.08	0	5
104	105	3	3	1	0.9	1	5
105	106	2	2	1	0.6	1	5
106	107	2	2	1	0.35	0	5
107	108	3	2	1	0.6	1	5
0	1	1	2	1.0	0.53	0	6
1	2	2	1	0.0	0.13	0	6
2	3	2	3	1.0	0.91	1	6
3	4	3	1	0.0	0.15	1	6
4	5	1	2	1.0	0.61	0	6
5	6	3	1	1.0	0.31	1	6
6	7	3	3	1.0	0.79	1	6
7	8	1	1	0.0	0.1	0	6
8	9	3	2	1.0	0.58	1	6
9	10	3	2	0.0	0.36	1	6
10	11	1	3	1.0	0.82	0	6
11	12	3	1	0.0	0.22	1	6
12	13	3	3	1.0	0.87	0	6
13	14	1	2	1.0	0.45	0	6
14	15	2	3	1.0	0.7	0	6
15	16	1	1	1.0	0.27	0	6
16	17	2	2	1.0	0.4	0	6
17	18	1	1	1.0	0.18	0	6
18	19	1	3	1.0	0.74	0	6
19	20	3	2	0.0	0.52	1	6
20	21	1	1	1.0	0.34	0	6
21	22	3	3	1.0	0.7	1	6
22	23	2	2	1.0	0.65	0	6
23	24	2	2	1.0	0.49	1	6
24	25	2	2	1.0	0.57	0	6
25	26	2	1	0.0	0.22	1	6
26	27	1	2	1.0	0.4	1	6
27	28	2	1	1.0	0.27	1	6
28	29	1	3	1.0	0.88	0	6
29	30	3	1	0.0	0.09	1	6
30	31	3	2	1.0	0.44	1	6
31	32	3	3	1.0	0.95	1	6
32	33	2	3	1.0	0.75	1	6
33	34	2	1	0.0	0.06	1	6
34	35	2	3	1.0	0.83	0	6
35	36	1	3	1.0	0.66	0	6
36	37	3	3	1.0	0.84	1	6
37	38	1	3	1.0	0.93	0	6
38	39	3	1	0.0	0.2	1	6
39	40	3	2	1.0	0.41	1	6
40	41	1	2	1.0	0.59	0	6
41	42	1	3	1.0	0.85	0	6
42	43	3	3	1.0	0.92	1	6
43	44	2	3	1.0	0.8	0	6
44	45	1	2	1.0	0.37	0	6
45	46	1	3	1.0	0.8	1	6
46	47	2	2	1.0	0.62	0	6
47	48	2	1	0.0	0.11	1	6
48	49	3	2	1.0	0.5	1	6
49	50	3	2	1.0	0.63	1	6
50	51	2	3	1.0	0.89	0	6
51	52	1	3	1.0	0.71	0	6
52	53	2	1	0.0	0.19	1	6
53	54	2	2	1.0	0.46	0	6
54	55	3	1	0.0	0.07	0	6
55	56	3	2	1.0	0.55	1	6
56	57	2	3	1.0	0.67	1	6
57	58	2	1	0.0	0.25	0	6
58	59	3	1	0.0	0.28	1	6
59	60	1	1	1.0	0.32	0	6
60	61	3	3	1.0	0.68	1	6
61	62	1	1	0.0	0.07	0	6
62	63	2	2	1.0	0.54	1	6
63	64	2	3	1.0	0.75	1	6
64	65	1	1	1.0	0.23	0	6
65	66	1	2	1.0	0.5	0	6
66	67	3	1	0.0	0.14	1	6
67	68	2	1	0.0	0.32	0	6
68	69	1	2	1.0	0.45	0	6
69	70	2	2	0.0	0.38	1	6
70	71	3	3	1.0	0.76	1	6
71	72	1	1	1.0	0.16	0	6
72	73	3	2	0.0	0.39	1	6
73	74	2	1	0.0	0.24	1	6
74	75	2	3	1.0	0.86	0	6
75	76	1	2	1.0	0.56	0	6
76	77	3	3	1.0	0.81	1	6
77	78	2	3	1.0	0.94	0	6
